PERF_PARENT world=4 ms_wrap=0.000 ms_vesin=1.805 ms_nl=1.805 ms_d2h=0.154 ms_geo_pub=0.037 ms_cover=0.000 ms_shard=0.087 ms_pack=0.088 ms_pub=0.241 ms_wait_workers=92.299 ms_total=94.360 gen=21 n_edges_full=57962 mode=W7_twophase
PERF_PARENT world=4 ms_wrap=0.000 ms_vesin=1.787 ms_nl=1.787 ms_d2h=0.156 ms_geo_pub=0.039 ms_cover=0.000 ms_shard=0.106 ms_pack=0.107 ms_pub=0.263 ms_wait_workers=93.133 ms_total=95.200 gen=22 n_edges_full=57974 mode=W7_twophase
PERF_PARENT world=4 ms_wrap=0.000 ms_vesin=1.863 ms_nl=1.863 ms_d2h=0.164 ms_geo_pub=0.038 ms_cover=0.000 ms_shard=0.088 ms_pack=0.089 ms_pub=0.253 ms_wait_workers=92.584 ms_total=94.713 gen=23 n_edges_full=57982 mode=W7_twophase
PERF_PARENT world=4 ms_wrap=0.000 ms_vesin=1.796 ms_nl=1.796 ms_d2h=0.155 ms_geo_pub=0.038 ms_cover=0.000 ms_shard=0.099 ms_pack=0.100 ms_pub=0.255 ms_wait_workers=92.131 ms_total=94.197 gen=24 n_edges_full=58040 mode=W7_twophase
PERF_PARENT world=4 ms_wrap=0.000 ms_vesin=1.783 ms_nl=1.783 ms_d2h=0.154 ms_geo_pub=0.038 ms_cover=0.000 ms_shard=0.093 ms_pack=0.095 ms_pub=0.249 ms_wait_workers=92.652 ms_total=94.702 gen=25 n_edges_full=58040 mode=W7_twophase
PERF_PARENT world=4 ms_wrap=0.000 ms_vesin=1.947 ms_nl=1.947 ms_d2h=0.156 ms_geo_pub=0.038 ms_cover=0.000 ms_shard=0.103 ms_pack=0.104 ms_pub=0.260 ms_wait_workers=92.807 ms_total=95.028 gen=26 n_edges_full=58052 mode=W7_twophase
PERF_PARENT world=4 ms_wrap=0.000 ms_vesin=1.885 ms_nl=1.885 ms_d2h=0.154 ms_geo_pub=0.038 ms_cover=0.000 ms_shard=0.089 ms_pack=0.091 ms_pub=0.245 ms_wait_workers=97.199 ms_total=99.342 gen=27 n_edges_full=58048 mode=W7_twophase
PERF_PARENT world=4 ms_wrap=0.000 ms_vesin=1.756 ms_nl=1.756 ms_d2h=0.156 ms_geo_pub=0.038 ms_cover=0.000 ms_shard=0.093 ms_pack=0.094 ms_pub=0.250 ms_wait_workers=94.051 ms_total=96.071 gen=28 n_edges_full=58054 mode=W7_twophase
PERF_PARENT world=4 ms_wrap=0.000 ms_vesin=1.811 ms_nl=1.811 ms_d2h=0.168 ms_geo_pub=0.051 ms_cover=0.000 ms_shard=0.083 ms_pack=0.084 ms_pub=0.252 ms_wait_workers=95.726 ms_total=97.804 gen=29 n_edges_full=58080 mode=W7_twophase
PERF_PARENT world=4 ms_wrap=0.000 ms_vesin=1.840 ms_nl=1.840 ms_d2h=0.155 ms_geo_pub=0.038 ms_cover=0.000 ms_shard=0.092 ms_pack=0.093 ms_pub=0.248 ms_wait_workers=92.852 ms_total=94.954 gen=30 n_edges_full=58084 mode=W7_twophase
