LAMMPS data file atomic style, metal units (NaCl6 frozen rattle + MB 300K seed=0)

1728 atoms
2 atom types

0.0 33.8400000000000034 xlo xhi
0.0 33.8400000000000034 ylo yhi
0.0 33.8400000000000034 zlo zhi

Masses

1 22.98976928
2 35.45000000

Atoms # atomic

1 1 2.7392337464300000e-02 3.3793957342799999e+01 3.3748194704799999e+01
2 2 2.7233055271100000e+00 6.2654047840099994e-02 8.2551115455499993e-02
3 1 2.1327155153400001e-02 2.8658993121999998e+00 2.8287249982899998e+00
4 2 2.9070144847599999e+00 2.8831707108200000e+00 2.7205477000300000e+00
5 1 2.8914808553200002e+00 3.3746717115099997e+01 2.8659310892900001e+00
6 2 3.3775131124100000e+01 7.2635784470000006e-02 2.8282922440500000e+00
7 1 2.7799423781099999e+00 2.8045374442400002e+00 3.3745663934200003e+01
8 2 3.3764856655300001e+01 2.8541248829399999e+00 2.9437902314900000e-02
9 1 2.3077022296300001e-02 3.3816735510900003e+01 5.7394419871600002e+00
10 2 2.9161670677600000e+00 3.7108396896100002e-02 5.6700918552499999e+00
11 1 3.7689346114200002e-02 2.7977842848000001e+00 8.3870193010000005e+00
12 2 2.8642976680399999e+00 2.8250708644999998e+00 8.4220483751100002e+00
13 1 2.8171670717700001e+00 7.7897566869799997e-02 8.5468087031900009e+00
14 2 3.3811559039300001e+01 1.4305966146000000e-02 8.4243738782200008e+00
15 1 2.8388600060400000e+00 2.7875822450999999e+00 5.6183238001099998e+00
16 2 7.8054870400999996e-02 2.7654315187099998e+00 5.6646374289399999e+00
17 1 3.3756803068700002e+01 6.6528829530699995e-02 1.1337419661500000e+01
18 2 2.7678738886000001e+00 7.5296846162100001e-02 1.1191713607000001e+01
19 1 3.3807223412100001e+01 2.7500558933799999e+00 1.4090067873300001e+01
20 2 2.8792648540600001e+00 2.7661284417999998e+00 1.4010404260200000e+01
21 1 2.8009103679599998e+00 3.3779702608900003e+01 1.4018150609099999e+01
22 2 1.6066477197399998e-02 3.3799739226600003e+01 1.4134398975600000e+01
23 1 2.7599030887899998e+00 2.9084226220999998e+00 1.1253022033600001e+01
24 2 3.3761099055899997e+01 2.8458216303100001e+00 1.1365430910600001e+01
25 1 3.3828075430900000e+01 9.0918098738100001e-02 1.6919979162699999e+01
26 2 2.8050457249699998e+00 2.4042690403100000e-02 1.7019019301000000e+01
27 1 8.9788734987599997e-02 2.8120090278599998e+00 1.9791545769100001e+01
28 2 2.8194845390999999e+00 2.8258624320400001e+00 1.9797157140100001e+01
29 1 2.8029311698699999e+00 4.6896714357700001e-02 1.9782228575600001e+01
30 2 8.6411937322700000e-02 3.3762986526699997e+01 1.9785803023400000e+01
31 1 2.9054847857200001e+00 2.9135852379800000e+00 1.6822941261000000e+01
32 2 7.2728018049099993e-02 2.9162390080099998e+00 1.7011442035900000e+01
33 1 3.3769752802399999e+01 9.4525762764599994e-02 2.2637987111099999e+01
34 2 2.8844747655099998e+00 3.3835997584799998e+01 2.2506474583900001e+01
35 1 6.0376115743699998e-02 2.9047060319600000e+00 2.5333226054499999e+01
36 2 2.8277868815199998e+00 2.8085505657900001e+00 2.5466203463199999e+01
37 1 2.7281021422400000e+00 4.6401239131300002e-02 2.5402874649400001e+01
38 2 3.3745673072999999e+01 4.3843954565299999e-02 2.5283198345900001e+01
39 1 2.8715902004700000e+00 2.8225517446500001e+00 2.2645820844199999e+01
40 2 3.3753216499300002e+01 2.8882634559199998e+00 2.2473338001799998e+01
41 1 3.3808861995800001e+01 3.3826059746399999e+01 2.8293212416199999e+01
42 2 2.8324463684499999e+00 3.3791772918600003e+01 2.8148335142800001e+01
43 1 7.7623664131799996e-02 2.7651738856799999e+00 3.0944910941200000e+01
44 2 2.7776661514000001e+00 2.8372246129600001e+00 3.1030818100400001e+01
45 1 2.8819421551800000e+00 1.2095190401200001e-02 3.0977684242900001e+01
46 2 3.3822579268500000e+01 6.3624194194199998e-02 3.1045301292500000e+01
47 1 2.9118155285400000e+00 2.7938808822199999e+00 2.8210522302099999e+01
48 2 1.8784840322599999e-02 2.8896582416599998e+00 2.8129094707600000e+01
49 1 3.3821302067300003e+01 5.7219917923299999e+00 3.3748613377700003e+01
50 2 2.8845412560399999e+00 5.6230768074700004e+00 6.5960797055599998e-02
51 1 3.3741990912200002e+01 8.4330092315500007e+00 2.7357260074299998e+00
52 2 2.8505229152700000e+00 8.4147698197200000e+00 2.8605304141299999e+00
53 1 2.9087602853900001e+00 5.5653634204499998e+00 2.8929556590800001e+00
54 2 3.3751892830300001e+01 5.6161541016600003e+00 2.8059548122400000e+00
55 1 2.8177699093699999e+00 8.5552924643899999e+00 5.5138237620400002e-02
56 2 3.3801771472500000e+01 8.4139673571000007e+00 7.2624040837900000e-02
57 1 7.6261434547500007e-02 5.6421413011099997e+00 5.6088591461900004e+00
58 2 2.9189834696300001e+00 5.6031887090700003e+00 5.5765424757900002e+00
59 1 7.6019624260800001e-02 8.5224670796200002e+00 8.4935778811099993e+00
60 2 2.9116827263600000e+00 8.5451429154399996e+00 8.5096497006600007e+00
61 1 2.8921402819100002e+00 5.5894293480600004e+00 8.3882493113799992e+00
62 2 3.4012369862999998e-02 5.6829237073299996e+00 8.3934105857599999e+00
63 1 2.7991114546200002e+00 8.5420511532399992e+00 5.6522801535099996e+00
64 2 1.5667182985300000e-02 8.3988259545799995e+00 5.6452044497199996e+00
65 1 4.6869454789800003e-03 5.5577871280500002e+00 1.1376388538600001e+01
66 2 2.8342791200900002e+00 5.5412817765300000e+00 1.1334529840200000e+01
67 1 9.5653142767999993e-02 8.4779740056600001e+00 1.4063936327300000e+01
68 2 2.7575015431500001e+00 8.4945053267800006e+00 1.4039021479700001e+01
69 1 2.8355375784999999e+00 5.6604478352800003e+00 1.4192484618600000e+01
70 2 3.3754453053100001e+01 5.6399945647300003e+00 1.4148819495900000e+01
71 1 2.7554453480899999e+00 8.4376133463599992e+00 1.1192579099700000e+01
72 2 4.5176172755200000e-02 8.3775535773499996e+00 1.1259018341699999e+01
73 1 7.4704526224099996e-02 5.6344600673500000e+00 1.7002524386699999e+01
74 2 2.8731834235500000e+00 5.7230647920199997e+00 1.6845480601799999e+01
75 1 3.3754712581100002e+01 8.3740652507100002e+00 1.9813770858900000e+01
76 2 2.8468139958699998e+00 8.4593143387600005e+00 1.9672708683200000e+01
77 1 2.8547466875500001e+00 5.6036034775700001e+00 1.9782175972699999e+01
78 2 3.3832071065800001e+01 5.6414939721100001e+00 1.9797933146500000e+01
79 1 2.7385490951000002e+00 8.4757517006600001e+00 1.6859446989500000e+01
80 2 6.1627350362699999e-02 8.4577692072299993e+00 1.7017739066699999e+01
81 1 3.3776588664899997e+01 5.7326038280200002e+00 2.2620183407300001e+01
82 2 2.8162520993200002e+00 5.7027068128399998e+00 2.2580569781000001e+01
83 1 3.1024212798300001e-02 8.5427381525400001e+00 2.5293054083299999e+01
84 2 2.8869976407900002e+00 8.4363629559900009e+00 2.5345109123200000e+01
85 1 2.9188053542399999e+00 5.6962381004199996e+00 2.5377107027800001e+01
86 2 3.3824525679300002e+01 5.7155057811700001e+00 2.5297362974399999e+01
87 1 2.8616837513800002e+00 8.5178309247400001e+00 2.2619839275899999e+01
88 2 3.3804457344900001e+01 8.5193278365499996e+00 2.2505065688399998e+01
89 1 3.3812461590100000e+01 5.6234896224400002e+00 2.8208281996699998e+01
90 2 2.7425227331099999e+00 5.6213895601299999e+00 2.8100060138000000e+01
91 1 4.8876145269500001e-02 8.5303751824499994e+00 3.0947786335800000e+01
92 2 2.8607571538499998e+00 8.5242206176799993e+00 3.1116365664600000e+01
93 1 2.8887581124700001e+00 5.6248212970899996e+00 3.1115937741700002e+01
94 2 9.4796880970500000e-02 5.6407353958400002e+00 3.1070689307700000e+01
95 1 2.9027675335300001e+00 8.4552294143900006e+00 2.8272757248200001e+01
96 2 4.0313713212400001e-02 8.4187848511900008e+00 2.8253530454000000e+01
97 1 1.4136957171900000e-02 1.1198769030699999e+01 3.3818276085299999e+01
98 2 2.7347482026800001e+00 1.1275233392600001e+01 3.3825707921599999e+01
99 1 3.3824747488600003e+01 1.4117260070700000e+01 2.7445381320400002e+00
100 2 2.9067537819900000e+00 1.4136810089600001e+01 2.8847562716800002e+00
101 1 2.8993602464500001e+00 1.1296664009400001e+01 2.7280436441800000e+00
102 2 4.2297364823599998e-02 1.1293805170900001e+01 2.8851914444300002e+00
103 1 2.8264320946899999e+00 1.4162648819099999e+01 9.9402058614499994e-02
104 2 3.3810110962300001e+01 1.4034204288000000e+01 3.3818334959900000e+01
105 1 5.0609997973100000e-02 1.1267845786400001e+01 5.6576760218900004e+00
106 2 2.7454716943799999e+00 1.1325224702200000e+01 5.5960164803700003e+00
107 1 3.3778123512100002e+01 1.4172589999700000e+01 8.4728825642200007e+00
108 2 2.8168997884700002e+00 1.4179764753000001e+01 8.3772024872100008e+00
109 1 2.8592308900700001e+00 1.1245596458000000e+01 8.3950819499999998e+00
110 2 3.4959729993499999e-02 1.1252564390200000e+01 8.4259791664999995e+00
111 1 2.9087355530500001e+00 1.4039859668100000e+01 5.6424347315699999e+00
112 2 3.3744802640099998e+01 1.4032673618200000e+01 5.7166837467300002e+00
113 1 5.7849509650500001e-02 1.1291367098000000e+01 1.1224490679200001e+01
114 2 2.8315495165200000e+00 1.1182429305199999e+01 1.1322598726200001e+01
115 1 4.3350136112700000e-02 1.4129209004700000e+01 1.4122267736900000e+01
116 2 2.7347432865200001e+00 1.4049281193800001e+01 1.4114875609600000e+01
117 1 2.7988373532100002e+00 1.1378404645700000e+01 1.4184749071500001e+01
118 2 3.3770401580500000e+01 1.1297992118500000e+01 1.4139243021200000e+01
119 1 2.7473086828600000e+00 1.4062519129400000e+01 1.1323183569399999e+01
120 2 8.0221618684599996e-02 1.4068348530000000e+01 1.1227788742300000e+01
121 1 6.4358400546000005e-02 1.1296996536000000e+01 1.6915317684300000e+01
122 2 2.7712300042900000e+00 1.1194531669700000e+01 1.6823578284200000e+01
123 1 1.5994036112800002e-02 1.4038222054700000e+01 1.9835106595700001e+01
